date,open,high,low,close,adjusted close,volume,dividend amount
06-01-20,158.78,160.73,156.51,159.03,159.03,62970547,0
31-12-19,151.81,159.55,146.65,157.7,157.7,452664147,0
29-11-19,144.26,152.5,142.965,151.38,151.38,393028043,0.51
31-10-19,139.66,145.67,133.22,143.37,142.883,560654410,0
30-09-19,136.61,142.37,134.51,139.03,138.5577,477645820,0
30-08-19,137,140.9383,130.78,137.86,137.3917,585509525,0.46
31-07-19,136.63,141.675,134.67,136.27,135.3424,484553299,0
28-06-19,123.85,138.4,119.01,133.96,133.0481,508324437,0
31-05-19,130.53,130.65,123.04,123.68,122.8381,547218448,0.46
30-04-19,118.95,131.37,118.1,130.6,129.2393,433157868,0
29-03-19,112.89,120.82,108.8,117.94,116.7112,589045341,0
28-02-19,103.775,113.24,102.35,112.03,110.8627,469095970,0.46
31-01-19,99.55,107.9,97.2,104.43,102.9002,714204787,0
31-12-18,113,113.42,93.96,101.57,100.0821,944287635,0
30-11-18,107.05,112.24,99.3528,110.89,109.2655,720228643,0.46
31-10-18,114.75,116.18,100.11,106.81,104.7861,927547942,0
28-09-18,110.85,115.29,107.23,114.37,112.2029,480255674,0
31-08-18,106.03,112.777,104.84,112.33,110.2015,456630721,0.42
31-07-18,98.1,111.15,98,106.08,103.6655,569501573,0
29-06-18,99.2798,102.69,97.26,98.61,96.3655,602585341,0
31-05-18,93.21,99.99,92.45,98.84,96.5903,509418119,0.42
30-04-18,90.47,97.9,87.51,93.52,90.998,668258570,0
29-03-18,93.99,97.24,87.08,91.27,88.8087,732866406,0
28-02-18,94.79,96.07,83.83,93.77,91.2413,690287596,0.42
31-01-18,86.125,95.45,85.5,95.01,92.0222,543377322,0
29-12-17,83.6,87.4999,80.7,85.54,82.85,447828256,0
30-11-17,83.68,85.06,82.24,84.17,81.5231,416152260,0.42
31-10-17,74.71,86.2,73.71,83.18,80.1585,440510118,0
29-09-17,74.71,75.97,72.92,74.49,71.7842,367134396,0
31-08-17,73.1,74.96,71.28,74.77,72.054,429156682,0.39
31-07-17,69.33,74.42,68.02,72.7,69.688,451248934,0
30-06-17,70.24,72.89,68.09,68.93,66.0742,610120893,0
31-05-17,68.68,70.74,67.14,69.84,66.9465,505249296,0.39
28-04-17,65.81,69.14,64.85,68.46,65.257,428857613,0
31-03-17,64.13,66.19,63.62,65.86,62.7786,489173200,0
28-02-17,64.355,65.24,62.75,63.98,60.9866,440744043,0.39
31-01-17,62.79,65.91,61.95,64.65,61.2553,494435826,0
30-12-16,60.11,64.1,58.8,62.14,58.8771,513579428,0
30-11-16,59.97,61.41,57.28,60.26,57.0958,613056964,0.39
31-10-16,57.405,61.3699,56.315,59.92,56.4,614841775,0
30-09-16,57.01,58.19,55.61,57.6,54.2163,526855083,0
31-08-16,56.6,58.7,56.14,57.46,54.0845,467079004,0.36
29-07-16,51.13,57.29,50.39,56.68,53.0181,647587634,0
30-06-16,52.44,52.95,48.035,51.17,47.864,823987498,0
31-05-16,50,53,49.46,53,49.5758,530869347,0.36
29-04-16,55.05,56.77,49.35,49.87,46.3179,699025640,0
31-03-16,50.97,55.64,50.58,55.23,51.2961,640372350,0
29-02-16,54.88,55.09,48.19,50.88,47.256,814770780,0.36
29-01-16,54.32,55.39,49.1,55.09,50.8081,927914485,0
31-12-15,54.41,56.85,53.68,55.48,51.1678,793070000,0
30-11-15,52.85,54.98,52.53,54.35,50.1256,662622220,0.36
30-10-15,44.75,54.37,43.75,52.64,48.2208,857330655,0
30-09-15,42.23,45,41.66,44.26,40.5443,670779566,0
31-08-15,46.98,48.41,39.72,43.52,39.8664,776277394,0.31
31-07-15,44.46,47.4,43.32,46.7,42.5007,725458102,0
30-06-15,47.06,47.77,43.94,44.15,40.18,664853340,0
29-05-15,48.58,48.905,46.02,46.86,42.6464,633072750,0.31
30-04-15,40.6,49.54,40.12,48.64,43.9798,874535095,0
31-03-15,43.67,44.19,40.54,40.655,36.7598,824335340,0
27-02-15,40.59,44.3,40.23,43.85,39.6487,656509827,0.31
30-01-15,46.66,47.91,40.35,40.4,36.2712,918738022,0
31-12-14,47.88,49.06,44.9,46.45,41.7029,626810606,0
28-11-14,46.89,50.045,46.73,47.81,42.924,523008240,0.31
31-10-14,46.27,46.97,42.1,46.95,41.8854,853297059,0
30-09-14,45.43,47.57,44.53,46.36,41.3591,860084532,0
29-08-14,43.21,45.47,42.21,45.43,40.5294,513429400,0.28
